positive,neutral,negative
0.958,0.039,0.002
0.769,0.225,0.006
0.845,0.153,0.003
0.959,0.04,0.002
0.976,0.022,0.002
0.843,0.154,0.003
0.584,0.412,0.004
0.934,0.063,0.003
0.924,0.074,0.002
0.966,0.031,0.003
0.623,0.372,0.006
0.986,0.011,0.003
0.835,0.162,0.003
0.622,0.372,0.005
0.938,0.059,0.003
0.834,0.164,0.002
0.821,0.175,0.003
0.938,0.059,0.003
0.976,0.022,0.002
0.944,0.053,0.002
0.718,0.279,0.003
0.699,0.297,0.004
0.706,0.29,0.004
0.98,0.018,0.002
0.925,0.072,0.003
0.895,0.103,0.003
0.906,0.091,0.003
0.973,0.025,0.002
0.924,0.074,0.002
0.973,0.026,0.002
0.801,0.196,0.003
0.973,0.025,0.002
0.928,0.07,0.002
0.13,0.782,0.088
0.759,0.237,0.004
0.822,0.174,0.004
0.963,0.034,0.003
0.922,0.075,0.003
0.925,0.073,0.002
0.824,0.172,0.004
0.228,0.763,0.009
0.97,0.028,0.002
0.77,0.223,0.007
0.93,0.067,0.003
0.885,0.112,0.003
0.956,0.042,0.002
0.983,0.014,0.003
0.889,0.108,0.003
0.949,0.047,0.003
0.952,0.044,0.004
0.908,0.089,0.003
0.904,0.093,0.003
0.917,0.08,0.003
0.939,0.058,0.003
0.901,0.095,0.003
0.877,0.118,0.005
0.848,0.148,0.004
0.869,0.129,0.002
0.899,0.096,0.005
0.938,0.059,0.003
0.716,0.28,0.003
0.681,0.315,0.004
0.651,0.345,0.004
0.725,0.271,0.004
0.885,0.112,0.003
0.615,0.379,0.006
0.965,0.033,0.002
0.62,0.372,0.008
0.924,0.074,0.002
0.869,0.126,0.004
0.949,0.048,0.003
0.281,0.714,0.006
0.763,0.23,0.007
0.965,0.032,0.003
0.923,0.073,0.004
0.893,0.105,0.003
0.87,0.126,0.004
0.946,0.051,0.002
0.725,0.271,0.004
0.958,0.039,0.003
0.946,0.052,0.002
0.961,0.037,0.002
0.367,0.626,0.008
0.109,0.869,0.021
0.847,0.148,0.005
0.972,0.026,0.002
0.895,0.102,0.003
0.694,0.303,0.003
0.909,0.089,0.003
0.929,0.068,0.002
0.97,0.027,0.003
0.955,0.042,0.002
0.891,0.104,0.004
0.943,0.055,0.002
0.883,0.115,0.002
0.955,0.043,0.002
0.942,0.055,0.003
0.705,0.288,0.006
0.953,0.045,0.002
0.929,0.069,0.003
0.967,0.03,0.003
0.921,0.076,0.003
0.955,0.042,0.003
0.92,0.076,0.003
0.533,0.461,0.006
0.973,0.024,0.003
0.507,0.488,0.004
0.643,0.35,0.007
0.958,0.04,0.002
0.952,0.045,0.002
0.979,0.019,0.002
0.969,0.029,0.002
0.976,0.019,0.005
0.935,0.062,0.003
0.943,0.056,0.002
0.944,0.053,0.003
0.899,0.098,0.003
0.823,0.171,0.006
0.891,0.104,0.005
0.943,0.055,0.002
0.975,0.023,0.002
0.951,0.047,0.002
0.862,0.133,0.004
0.384,0.609,0.007
0.954,0.042,0.003
0.753,0.243,0.004
0.608,0.382,0.009
0.954,0.043,0.003
0.119,0.855,0.026
0.84,0.156,0.004
0.863,0.134,0.003
0.947,0.05,0.003
0.966,0.033,0.002
0.447,0.543,0.01
0.824,0.173,0.003
0.615,0.381,0.004
0.631,0.366,0.003
0.777,0.219,0.004
0.954,0.043,0.003
0.856,0.139,0.004
0.676,0.251,0.072
0.952,0.046,0.002
0.812,0.184,0.004
0.877,0.119,0.004
0.894,0.103,0.003
0.97,0.028,0.002
0.933,0.065,0.002
0.962,0.036,0.002
0.768,0.228,0.004
0.867,0.127,0.006
0.963,0.034,0.003
0.92,0.077,0.003
0.958,0.04,0.002
0.933,0.064,0.002
0.922,0.075,0.003
0.975,0.023,0.003
0.948,0.05,0.002
0.708,0.288,0.004
0.697,0.299,0.004
0.685,0.31,0.005
0.836,0.16,0.004
0.956,0.042,0.002
0.969,0.029,0.002
0.88,0.118,0.002
0.927,0.07,0.003
0.964,0.035,0.002
0.897,0.1,0.003
0.976,0.022,0.003
0.963,0.035,0.002
0.938,0.058,0.003
0.908,0.09,0.003
0.924,0.073,0.003
0.979,0.019,0.002
0.75,0.247,0.003
0.807,0.19,0.004
0.974,0.024,0.002
0.915,0.082,0.003
0.782,0.216,0.002
0.946,0.051,0.003
0.663,0.334,0.004
0.975,0.023,0.002
0.835,0.162,0.004
0.759,0.238,0.003
0.924,0.073,0.003
0.808,0.188,0.004
0.973,0.025,0.002
0.934,0.062,0.004
0.955,0.043,0.002
0.969,0.029,0.002
0.762,0.233,0.005
0.943,0.055,0.003
0.961,0.036,0.002
0.766,0.23,0.004
0.967,0.031,0.002
0.932,0.065,0.002
0.485,0.51,0.005
0.89,0.108,0.002
0.935,0.062,0.003
0.936,0.061,0.002
0.867,0.129,0.004
0.939,0.058,0.003
0.87,0.128,0.003
0.306,0.688,0.006
0.8,0.194,0.006
0.948,0.05,0.002
0.826,0.169,0.005
0.217,0.734,0.049
0.874,0.123,0.003
0.928,0.07,0.002
0.897,0.099,0.003
0.944,0.053,0.002
0.872,0.125,0.003
0.977,0.019,0.004
0.948,0.05,0.002
0.843,0.153,0.005
0.18,0.814,0.006
0.926,0.072,0.003
0.881,0.116,0.003
0.894,0.099,0.007
0.983,0.015,0.002
0.971,0.026,0.003
0.93,0.067,0.003
0.955,0.04,0.005
0.887,0.107,0.006
0.678,0.316,0.007
0.965,0.032,0.003
0.85,0.146,0.004
